distance_from_center_mm,angle_degrees,etch_gas_flow,spin_coat_rpm,litho_overlay_error_nm,yield_pass
107.75,241.93,45.78,2056,3.809,1
100.86,226.66,47.6,1975,1.124,1
115.47,200.33,54.73,1851,1.267,1
112.86,199.58,46.96,1993,2.735,1
61.55,131.73,40.9,1925,1.157,1
5.69,68.15,40.51,2155,1.756,1
72.75,147.65,46.84,1912,3.661,1
134.3,203.32,44.88,1903,1.717,0
21.68,331.96,45.93,1774,2.944,1
117.3,160.44,44.21,2041,1.022,1
98.3,349.76,43.01,1940,1.184,1
105.85,15.45,52.16,2136,1.162,1
32.72,196.24,60.54,1991,2.05,1
11.3,299.78,55.14,1784,2.192,1
40.17,69.45,57.27,2012,1.555,1
93.48,301.05,50.53,2324,3.367,1
58.29,186.18,56.11,2015,2.384,1
38.22,70.55,46.03,2065,1.367,1
59.56,250.77,56.31,2093,0.37,1
109.18,200.8,48.74,1931,2.686,0
38.33,218.22,55.9,2062,0.322,1
81.71,93.31,51.58,1966,1.454,1
60.96,262.3,53.71,2172,1.571,1
148.96,114.24,60.41,1691,3.523,1
128.08,84.62,57.26,2018,2.66,1
108.38,264.02,45.86,2079,1.723,1
82.59,222.99,45.46,2039,2.059,1
59.74,295.38,46.55,1842,2.419,0
101.67,224.73,49.78,2062,2.743,1
126.33,111.31,43.38,1987,2.394,1
21.0,320.6,58.03,1937,1.642,1
5.98,334.68,46.99,1715,0.568,1
68.94,195.24,43.44,1986,2.06,1
40.46,272.31,38.78,2191,1.521,1
132.77,238.57,51.42,2152,0.841,0
39.57,167.13,57.23,1865,0.502,1
136.96,308.85,41.52,2242,2.28,0
75.16,190.9,48.04,1963,0.931,1
125.25,160.49,44.29,1908,1.08,1
67.97,327.88,42.87,2107,1.746,1
107.42,215.22,52.06,1731,1.18,1
146.69,58.76,57.66,1789,3.221,1
24.91,272.82,49.97,1754,2.715,1
38.7,177.67,53.64,1960,3.693,1
77.34,309.17,44.79,2253,3.187,1
56.78,99.36,47.82,2232,2.067,1
120.23,89.79,43.12,1765,1.643,1
138.52,214.95,53.29,2079,2.279,1
85.89,156.1,56.91,1904,3.136,1
19.91,213.63,46.34,1743,1.666,1
56.48,326.3,46.67,1811,2.595,1
45.82,333.45,57.38,2159,2.639,1
96.74,209.9,46.77,2026,1.449,1
38.1,69.56,51.07,1681,1.195,1
12.76,52.39,47.89,1951,1.948,1
76.58,25.72,53.7,2129,1.242,1
41.98,247.41,50.19,2233,1.78,1
74.59,325.42,46.88,1969,2.181,1
51.87,116.21,51.01,1859,1.191,0
114.77,182.17,40.11,2016,2.688,1
38.77,269.13,52.41,2169,2.304,1
109.62,72.47,48.67,2034,2.941,1
17.25,119.86,51.28,2050,2.198,1
117.07,75.17,57.11,2395,2.158,1
149.58,263.22,55.08,1560,0.874,0
42.22,337.85,54.14,2312,1.964,1
149.95,48.33,55.62,2150,1.303,0
93.29,190.4,49.32,2273,3.236,1
85.53,248.21,46.49,1975,2.651,1
38.34,113.43,53.74,2156,2.029,1
100.53,264.81,58.35,2075,2.61,1
66.98,284.71,50.19,2054,1.322,1
89.02,41.03,54.11,1885,0.835,1
71.92,167.48,49.47,2145,1.083,1
117.32,78.95,53.77,1886,1.438,1
79.05,68.87,49.3,1991,0.836,1
49.98,152.23,46.27,2234,2.356,1
47.76,56.32,48.13,1864,3.486,1
84.07,349.65,47.1,2258,1.531,1
145.08,167.0,52.3,1898,4.321,0
15.23,138.09,45.45,1954,1.789,1
3.15,60.89,48.84,1824,2.797,0
67.49,282.78,51.26,2052,3.446,1
27.12,194.73,36.83,2187,2.519,1
136.14,213.34,58.79,1762,1.724,1
85.2,21.32,49.71,1830,1.46,1
122.95,156.61,44.15,1943,2.121,0
122.63,199.03,45.93,2079,2.986,1
1.71,216.29,43.87,2178,2.137,1
132.0,73.35,46.99,2049,2.33,1
63.82,332.66,45.85,2046,2.597,1
33.98,356.4,42.87,2011,1.421,1
130.18,202.3,46.12,2186,0.072,0
125.09,282.83,39.42,1918,1.835,1
130.86,119.74,46.01,2164,2.374,1
132.86,126.12,44.99,2172,1.866,1
143.75,310.76,48.96,1917,2.524,1
38.32,121.71,50.0,1922,2.748,1
36.34,359.57,54.18,2337,1.804,0
8.57,65.01,49.72,2254,1.26,1
112.46,256.55,54.6,1807,2.481,1
56.16,119.56,47.4,1789,1.367,1
100.49,338.22,45.88,1753,2.201,1
120.34,309.11,43.96,2036,1.646,1
38.33,82.53,42.26,1928,0.978,1
148.95,277.18,59.71,1984,2.162,1
89.76,93.68,52.29,2087,1.414,1
133.64,153.02,56.03,1977,1.941,1
77.22,167.44,51.95,1869,2.744,1
136.63,132.16,43.99,2134,0.128,1
73.22,353.67,47.35,1988,1.65,1
121.43,270.6,51.25,1915,0.859,1
56.6,139.14,56.66,2111,3.451,1
0.05,4.09,58.5,1891,2.652,1
108.78,93.04,41.21,1727,2.093,1
17.17,72.45,49.44,1979,1.478,1
141.76,313.53,44.24,2426,1.612,0
84.93,71.09,50.79,1943,2.653,1
54.12,121.82,53.29,2144,2.335,1
115.69,150.03,46.8,2149,2.791,1
142.82,78.28,44.37,2106,1.904,1
61.06,291.04,59.67,2108,2.331,1
105.03,106.38,46.77,2125,1.05,1
63.88,218.29,55.8,1953,1.48,1
18.39,273.92,54.9,1926,1.336,1
25.42,47.11,48.09,2037,2.731,1
127.72,354.22,43.97,2216,1.099,1
68.64,28.02,53.48,2083,2.387,1
52.39,196.55,49.81,1899,2.22,1
48.43,206.4,48.21,2301,2.971,1
52.1,168.74,50.18,2212,4.178,1
44.06,40.08,46.06,2229,1.251,1
118.64,262.77,49.27,1955,2.229,1
105.58,41.37,50.86,1988,1.472,1
89.39,94.92,47.66,2095,3.134,1
118.91,60.54,59.07,2138,1.834,1
16.73,3.81,48.16,1948,1.102,1
125.71,157.67,48.91,2031,2.708,1
36.48,36.24,33.71,2215,1.133,1
17.03,228.71,45.01,1832,2.051,1
78.39,65.99,53.29,2108,3.22,1
54.46,334.29,50.79,1901,3.431,1
106.9,345.18,55.08,2006,3.121,1
113.2,6.66,57.44,1772,2.959,1
126.67,123.21,40.76,1868,2.253,0
27.06,356.19,47.41,2290,1.794,1
98.73,118.19,66.69,2074,2.307,0
51.24,309.62,54.68,1919,0.42,1
100.45,289.37,64.5,2058,2.273,1
109.44,113.56,54.97,2026,1.101,1
123.32,191.98,43.72,2122,2.434,1
65.17,237.09,52.88,1894,2.129,1
75.16,116.5,45.14,1925,0.664,1
85.28,303.79,47.67,2238,3.472,1
80.99,174.14,46.88,1774,3.071,1
121.67,261.4,58.76,2013,3.117,1
50.66,351.33,48.22,2034,2.859,1
127.26,10.18,42.63,2059,1.436,0
23.19,265.81,52.91,1946,1.342,1
108.04,335.99,38.84,1888,2.877,1
109.23,114.83,60.04,1856,0.635,1
89.17,200.35,48.53,1902,2.095,1
38.9,231.24,47.57,1766,1.736,1
91.3,338.5,43.46,1901,1.784,1
31.86,319.1,58.02,1759,3.549,1
7.52,8.19,51.26,1849,1.304,1
114.75,259.78,47.84,1918,1.102,1
61.51,123.7,56.88,2004,3.283,1
35.94,220.84,54.69,2110,1.153,1
107.66,105.05,52.2,2207,1.13,1
54.88,239.99,44.76,2145,1.468,1
85.79,129.11,50.63,2055,2.974,1
46.66,49.73,45.8,2113,3.201,1
20.91,310.89,45.49,2027,0.769,1
32.34,269.04,44.2,1815,2.552,1
42.4,15.78,52.03,2276,2.029,1
75.99,12.95,46.51,2024,2.3,1
97.58,22.18,53.34,1824,2.834,1
144.89,129.66,57.39,2033,1.105,0
88.8,124.27,45.73,2246,2.057,0
144.94,57.69,47.35,2096,1.706,1
25.06,242.04,50.33,1915,0.277,1
12.58,51.03,47.57,1802,1.869,1
15.02,28.92,48.17,1879,0.213,1
60.3,209.97,44.66,2109,2.925,1
56.23,207.65,44.78,1983,2.576,1
118.83,252.34,44.57,2083,2.876,1
4.58,291.74,51.56,1966,1.784,0
88.95,84.97,56.32,2095,2.586,1
146.09,54.98,55.8,2035,1.121,0
51.82,281.35,52.86,1926,0.964,1
78.96,334.25,51.24,2090,0.899,1
93.26,139.74,59.5,2312,0.97,1
92.19,155.07,47.65,2256,3.002,1
81.48,54.19,46.56,2297,1.978,1
62.11,304.52,42.55,1927,2.478,1
58.95,154.67,64.47,2038,2.156,1
19.0,126.49,54.89,1920,2.617,1
119.38,346.39,52.17,2025,1.904,1
137.65,43.88,46.28,2014,2.173,0
24.67,6.32,42.56,1728,1.288,1
23.23,90.75,42.52,1923,2.173,1
149.1,129.21,52.35,1844,1.918,1
0.81,180.22,52.47,1873,1.176,1
126.14,283.36,50.14,1743,0.738,1
143.77,90.98,49.94,1815,3.11,0
111.47,218.42,52.65,1954,1.669,1
38.35,187.72,49.03,2220,0.956,1
116.31,86.51,54.07,1986,0.379,1
92.12,169.6,59.93,1716,2.699,1
108.54,133.67,43.59,1816,0.075,1
73.21,186.47,52.66,2039,1.936,0
45.27,320.54,43.16,2034,2.155,1
139.81,10.85,52.34,1821,2.05,1
84.26,107.36,41.78,2232,2.475,1
51.36,145.31,51.67,2135,2.734,1
27.72,147.83,40.7,2050,2.339,1
101.42,96.52,45.49,2040,2.82,1
16.9,191.08,51.19,1850,1.091,1
87.96,267.83,54.24,1846,2.865,1
78.75,33.36,52.22,2047,1.97,1
145.83,68.68,60.13,2137,2.225,0
123.38,317.63,45.5,2037,1.488,1
49.53,328.83,54.37,2048,3.059,1
70.47,250.47,47.39,1874,1.234,1
147.49,152.11,50.13,1947,1.751,1
124.56,321.28,49.46,2058,2.222,1
13.69,250.81,52.92,1844,1.211,1
107.21,257.04,48.81,1888,3.113,0
116.77,267.88,49.0,2132,2.067,1
149.56,167.9,48.94,1900,2.467,0
122.31,190.25,40.01,2223,2.235,1
140.45,18.63,53.83,2019,2.265,1
144.21,167.01,53.05,2180,0.18,1
21.71,69.4,52.05,1988,1.477,1
138.97,128.81,47.55,2103,2.403,0
4.77,4.89,43.31,1922,2.135,1
101.77,14.39,42.24,2152,1.742,1
127.51,291.4,56.16,1884,2.548,1
59.73,95.11,46.79,1912,2.193,1
128.51,235.97,43.17,2043,2.879,1
100.45,323.9,46.54,1880,1.643,1
97.81,189.38,45.95,1888,2.141,1
88.7,353.08,48.14,2000,2.342,1
22.09,6.7,42.02,2030,1.394,1
146.34,246.29,55.8,2181,2.012,0
103.05,15.24,54.06,1990,1.815,1
128.66,332.72,46.12,1912,2.922,0
50.6,356.11,55.07,1797,2.069,1
21.61,13.68,40.22,1849,2.453,1
102.81,84.66,52.96,1954,2.073,1
32.14,172.67,47.34,2125,1.219,1
112.75,263.66,46.95,2070,1.579,1
92.7,263.59,55.36,1781,2.552,1
135.61,337.65,50.43,1914,0.878,1
131.75,267.03,53.79,1839,1.89,1
51.44,67.37,48.79,2092,2.619,1
37.36,69.23,49.11,1958,1.239,1
4.38,255.58,51.93,2237,2.537,1
80.0,335.89,54.66,2080,2.295,1
2.02,32.22,43.57,2061,2.557,1
74.27,284.04,38.13,2417,2.695,1
51.16,114.07,56.92,2158,1.864,1
49.17,244.18,46.39,2137,1.964,1
130.44,247.38,48.75,1921,2.208,1
113.07,180.91,48.62,2002,2.069,1
99.96,20.72,43.73,2020,2.846,1
65.89,241.9,47.27,2100,1.529,1
85.86,111.75,56.1,1742,3.747,1
90.9,173.65,65.48,1977,1.659,1
45.9,351.86,42.83,1834,3.424,1
121.57,145.42,47.68,1900,2.234,1
16.49,317.67,50.55,2046,0.681,1
14.28,8.3,50.45,1715,0.694,1
5.88,84.94,51.44,2093,0.587,1
137.19,0.77,53.27,1911,1.556,0
43.99,144.61,46.45,2099,2.821,1
11.57,60.47,46.92,1900,1.764,1
93.73,143.36,48.11,1947,1.316,1
96.24,304.64,49.46,2131,2.262,1
31.36,349.67,43.9,2034,3.029,1
146.24,65.77,48.81,2109,0.091,1
34.76,245.32,45.59,2240,0.868,1
63.34,84.85,48.27,1903,1.315,1
85.16,335.9,48.72,1939,2.506,1
101.13,99.52,55.02,2004,2.389,1
59.58,353.19,47.0,1891,1.486,1
28.64,115.3,45.78,2068,2.651,1
64.37,134.29,44.78,2092,2.436,1
67.96,179.63,51.45,1883,2.205,1
102.75,25.67,45.49,2242,1.369,1
141.4,48.95,46.02,2101,2.345,1
143.51,317.74,59.75,2272,3.693,0
144.51,150.12,46.46,2047,0.0,1
69.37,108.64,44.01,1769,2.325,1
31.61,323.75,49.54,2000,1.814,1
80.67,355.46,54.75,1954,1.484,1
49.75,249.89,60.43,2170,0.925,1
72.53,126.55,46.38,1895,0.589,1
89.45,18.63,46.83,2251,2.292,0
109.0,226.33,50.77,2113,1.215,1
88.81,312.14,47.0,1766,1.515,1
47.42,201.43,51.3,2071,2.011,1
149.31,297.1,43.31,2206,2.411,1
53.59,187.0,55.33,2120,0.687,1
148.16,23.36,50.94,1736,1.281,0
36.25,187.76,44.9,1783,1.974,1
35.24,217.69,61.52,1935,2.038,1
120.95,296.02,54.05,1938,1.761,1
47.06,297.31,50.64,1823,3.099,1
2.91,1.57,46.12,1988,2.789,1
58.42,117.82,53.19,1936,2.452,1
146.57,267.85,45.1,2111,2.97,0
5.26,69.33,54.15,1737,3.02,1
54.44,100.29,43.19,2056,2.59,0
78.4,214.17,43.38,1956,1.407,1
93.76,157.56,48.7,1885,2.721,1
39.84,66.56,54.97,1829,2.364,1
113.68,86.28,48.35,1790,2.268,1
101.19,87.91,55.94,1896,1.876,1
134.0,116.9,52.09,1830,3.514,1
144.69,168.42,55.31,2185,2.444,1
64.11,256.65,50.68,1920,2.854,1
17.84,128.13,53.49,2133,2.588,1
26.72,191.19,52.01,1932,2.008,1
107.11,324.77,51.78,1979,1.876,1
67.52,247.88,53.97,1832,1.866,1
81.48,338.8,47.03,2113,0.608,1
149.3,335.24,52.31,1956,1.476,0
115.35,37.35,43.51,2077,2.583,1
41.19,80.97,46.45,2073,4.038,1
146.93,258.51,48.51,1878,1.125,0
47.6,214.41,46.99,2182,1.176,1
113.89,173.09,53.29,2105,0.033,1
55.05,298.93,43.28,2164,2.324,0
109.01,149.75,61.63,2022,3.118,1
70.87,163.27,47.59,1709,1.393,1
71.61,110.02,55.45,1832,3.422,1
55.7,119.44,58.66,2113,0.0,1
78.36,292.13,50.77,2157,2.827,1
146.44,234.94,43.62,1905,1.904,1
26.94,324.04,50.63,2015,3.683,1
130.72,84.31,46.77,1973,3.202,1
1.98,0.36,52.88,2160,3.371,1
28.52,18.65,52.5,2077,2.597,1
132.17,230.05,44.21,1852,2.485,1
137.75,216.29,49.2,2132,2.784,1
50.17,264.15,56.04,1807,1.31,1
32.38,34.82,61.74,2128,3.16,1
106.79,245.43,47.1,2177,2.685,1
119.83,52.58,49.78,1999,0.833,1
15.39,277.37,45.22,2071,3.056,1
81.59,257.4,46.04,1771,1.149,0
26.55,96.91,54.12,1848,1.375,1
87.69,98.68,55.07,1999,2.449,1
113.53,91.28,59.02,1786,1.921,1
44.27,321.05,47.04,2062,2.804,1
130.6,255.02,52.12,2072,2.806,1
14.57,37.54,54.8,1834,1.361,1
28.69,323.89,52.98,1828,1.689,1
3.06,314.66,57.04,1997,1.002,1
144.8,117.08,54.11,1861,2.145,1
79.51,315.12,48.96,1982,1.51,1
120.91,346.87,47.92,2198,1.892,1
121.01,342.31,52.69,1886,0.588,1
99.68,116.0,43.47,2013,1.953,1
121.33,343.2,48.11,1931,0.0,1
57.01,264.73,44.97,2163,1.537,1
48.72,248.23,50.49,2320,0.699,1
119.09,203.77,48.49,1989,2.28,1
52.46,213.77,58.27,2023,1.291,1
43.62,143.64,56.35,1857,3.096,1
110.11,171.56,41.76,2207,1.27,1
44.87,27.49,52.2,2094,3.222,1
119.54,99.21,52.77,1980,2.605,1
144.64,355.05,51.25,2075,2.72,1
30.19,217.1,47.27,2157,3.574,1
32.21,16.29,62.38,2119,2.378,1
54.18,181.33,49.16,2199,1.843,1
2.11,155.93,50.43,1838,1.702,1
16.08,358.31,56.71,2342,1.324,1
47.37,265.02,54.36,2234,2.418,0
99.37,272.34,45.32,2061,2.29,1
116.44,258.57,48.65,2017,2.026,1
96.63,205.91,51.14,2006,3.629,1
97.65,262.47,49.75,2033,2.229,1
118.53,57.37,54.62,1985,1.122,1
48.34,14.28,51.09,2045,2.217,1
90.66,359.96,45.96,2071,0.0,1
130.34,228.94,57.18,1971,2.777,1
17.59,328.86,53.41,2024,2.368,1
97.28,229.64,49.87,1761,1.945,1
69.26,308.69,45.25,2047,1.878,1
69.4,32.28,46.82,2040,2.318,1
73.6,224.52,46.62,1704,1.901,1
63.25,45.67,56.46,2067,1.902,1
109.73,248.61,57.58,1714,1.91,1
49.32,346.54,41.81,1969,1.933,1
36.35,338.51,57.3,2048,0.236,1
77.49,48.74,45.8,1921,2.438,1
118.95,278.72,53.73,2079,1.927,1
125.66,25.63,64.17,1916,1.272,1
33.69,181.14,48.92,2062,0.283,1
57.47,124.51,51.53,1982,2.253,1
37.75,131.56,48.91,2120,1.19,1
1.01,279.49,53.52,2030,1.785,1
46.72,355.18,46.23,2332,2.114,1
40.19,131.41,45.88,1968,1.143,1
130.9,298.52,50.0,2055,2.279,1
33.98,254.01,42.96,1974,1.24,1
149.75,247.25,48.72,2070,2.314,0
12.83,90.65,59.92,2070,0.795,1
0.18,351.45,59.02,1966,2.473,1
116.9,323.65,49.38,2267,2.086,1
36.24,147.22,39.01,2039,1.294,0
26.18,30.4,54.3,2109,3.402,0
141.83,55.71,46.87,2277,1.438,0
136.13,150.82,50.45,1935,1.355,1
46.44,52.72,61.15,1850,2.569,1
67.57,59.25,50.63,1867,2.677,0
28.05,55.42,48.0,1966,2.846,1
99.41,359.63,49.94,1995,2.23,0
149.14,357.52,49.7,1789,2.064,1
11.69,177.23,53.13,1981,2.261,1
1.2,12.42,53.23,2031,4.786,1
3.83,169.65,55.2,2145,1.937,1
98.92,31.68,37.65,1846,0.701,1
52.28,283.98,54.02,2106,1.08,1
146.1,225.04,60.09,2221,1.498,1
136.17,100.03,56.95,2089,1.688,0
20.68,159.25,57.08,2195,1.272,1
146.66,50.52,44.26,2014,3.05,1
133.83,48.04,44.77,1989,0.526,0
64.85,118.93,49.44,1793,1.224,1
96.82,141.87,45.04,1926,1.337,1
86.07,124.81,53.81,2078,2.075,1
85.08,209.33,48.24,1999,1.586,1
25.6,248.64,47.53,2148,2.514,1
131.84,160.37,49.79,2245,1.203,1
11.58,293.0,44.93,1771,0.912,1
128.68,188.51,50.43,2033,2.457,1
3.89,112.83,51.44,2005,3.758,1
111.56,39.33,45.94,1903,1.393,1
132.28,148.85,47.44,1956,3.388,1
136.83,40.24,44.59,1992,0.401,1
93.58,51.14,48.96,1881,1.701,1
20.24,91.2,45.95,1991,3.284,1
70.72,98.94,49.3,1764,2.319,1
45.78,280.77,55.02,2065,1.6,1
149.83,28.63,47.4,1915,2.517,0
5.6,215.35,46.79,2171,1.769,1
88.18,112.33,50.61,2073,1.372,1
43.33,60.27,48.36,2146,1.089,1
40.8,178.89,50.77,2284,3.451,1
13.85,102.64,42.29,2144,2.317,1
22.39,108.66,52.21,1924,1.168,1
113.52,167.93,47.75,2181,1.963,1
87.64,306.95,55.36,2089,1.556,1
56.6,279.86,57.33,1892,0.841,1
111.64,121.16,42.39,2000,1.732,1
35.86,65.28,46.96,2301,1.857,1
83.48,114.46,61.44,2024,1.907,1
90.93,88.41,51.65,1741,2.45,1
19.01,31.17,49.51,1741,2.148,1
139.48,36.95,50.99,2032,2.44,0
50.22,281.7,41.6,1915,2.204,1
14.46,263.14,60.1,2039,2.662,1
28.83,81.26,53.28,2062,0.944,1
89.23,170.36,55.83,1919,0.088,1
107.61,47.01,49.04,2063,2.572,1
66.84,311.23,43.32,2015,2.137,1
23.4,294.77,51.04,2152,2.285,1
107.38,96.07,41.66,1901,2.117,1
115.03,8.57,47.79,1871,0.847,1
78.0,69.2,46.67,1942,3.712,1
52.7,222.48,55.24,1940,0.0,0
107.18,225.65,57.22,1601,1.628,1
31.49,123.76,44.49,2184,1.941,1
13.43,216.74,52.77,1971,1.611,1
61.5,115.78,42.84,1935,2.486,0
140.64,318.98,41.1,1965,2.501,1
34.98,59.36,56.67,1899,1.132,1
29.71,303.89,42.72,1910,2.241,1
29.23,113.26,50.78,2029,2.12,1
126.57,95.9,49.3,2002,1.928,1
79.37,31.6,53.12,2157,3.695,1
130.56,333.68,53.18,2101,4.806,0
114.59,187.6,49.13,1738,2.225,1
67.28,270.98,56.19,1955,1.161,1
114.81,25.46,56.63,1959,1.538,1
117.83,277.53,55.59,2101,2.519,1
130.45,293.16,44.51,1928,2.201,1
83.71,54.55,54.88,2065,1.96,1
123.62,262.32,47.71,2227,2.449,1
83.3,351.58,50.7,1797,2.499,1
53.22,4.92,48.94,2216,2.534,1
125.44,123.98,52.25,1812,1.302,1
41.56,340.47,53.05,2052,2.037,1
8.55,315.47,48.67,2017,3.066,1
68.6,341.95,44.87,2096,3.172,1
84.79,5.51,50.93,2042,1.163,1
28.72,257.44,43.08,1728,0.911,1
129.09,72.03,40.23,2058,2.212,1
54.14,95.78,44.7,2043,3.328,1
46.79,304.89,47.08,1925,1.976,1
139.15,94.73,54.09,2157,0.278,0
28.99,68.31,52.99,2103,1.273,1
32.06,58.32,49.23,1933,2.342,1
48.84,130.01,48.36,2023,1.582,1
128.34,187.25,49.47,1886,2.059,1
109.33,189.38,52.99,1769,2.754,1
129.57,227.91,42.43,2125,2.392,1
61.84,150.7,45.76,1843,1.244,1
109.63,350.47,48.25,1832,1.901,1
65.51,334.45,52.26,1990,1.048,1
38.23,127.62,52.34,2003,0.66,1
23.54,346.58,50.54,1974,2.23,1
140.53,88.68,43.97,2025,2.963,1
97.94,303.73,49.75,2099,1.965,1
58.83,147.24,46.44,2075,3.546,1
14.02,250.13,44.26,2015,1.175,1
115.92,307.51,41.67,1957,1.122,1
33.14,301.18,52.33,1693,1.476,1
90.44,337.96,55.93,2144,0.696,1
83.38,18.35,48.06,1974,2.131,1
139.13,298.89,42.02,2154,1.422,0
133.3,162.13,53.19,1807,2.849,0
146.19,206.57,49.04,2098,1.729,1
87.28,304.36,55.15,1658,1.863,1
102.98,236.39,49.0,1842,1.237,1
21.4,313.79,42.57,2038,2.429,1
101.78,143.08,43.01,2068,2.156,1
133.17,30.64,50.41,1842,3.392,1
2.75,0.47,45.98,1906,1.572,1
101.85,273.32,44.84,2204,1.572,1
92.37,6.69,51.84,1835,1.342,1
132.78,266.71,54.2,1959,1.753,1
127.68,215.01,43.63,2206,2.182,1
77.19,209.62,52.45,1957,3.243,1
53.92,191.35,41.14,1737,1.807,1
85.4,334.71,59.73,2075,1.883,1
109.65,52.56,48.24,2125,0.399,1
80.56,52.37,50.77,1959,3.034,1
126.19,126.84,48.59,2223,1.612,1
54.81,298.69,56.31,1979,1.886,1
116.84,341.81,51.82,1969,2.35,1
70.23,316.37,52.17,1956,1.158,1
53.62,219.66,52.56,2208,1.519,1
79.95,298.12,46.4,2026,0.717,1
126.07,12.56,46.4,1954,1.541,1
113.04,127.2,48.27,1901,1.365,1
81.22,58.85,50.26,1777,2.502,1
94.52,20.29,54.94,2166,2.943,1
11.51,141.11,48.8,2036,0.88,1
122.91,346.25,44.26,1975,0.666,1
144.77,113.42,54.6,1746,3.238,1
128.68,144.38,55.64,1807,1.599,1
134.14,79.79,52.18,1877,1.576,1
34.02,217.22,44.93,2123,1.169,1
78.09,295.2,43.5,2059,2.874,1
89.92,328.29,51.63,2203,1.414,1
115.66,223.79,52.77,1856,1.083,1
147.48,258.6,55.63,1756,2.916,0
84.74,200.64,51.47,2069,2.743,1
40.14,236.79,44.68,1664,2.182,1
144.37,114.32,43.96,2069,1.603,1
45.38,273.69,56.35,2140,1.697,1
92.34,84.86,57.52,2030,2.373,1
97.9,143.05,54.22,2182,1.994,1
18.35,202.17,47.18,2207,2.411,1
145.67,204.82,50.53,2033,2.986,1
58.62,138.91,54.77,2149,2.721,1
67.32,22.63,54.49,1965,0.693,1
12.4,58.65,47.55,2028,2.617,1
7.96,356.41,50.11,1796,1.75,1
56.1,63.19,50.03,2000,0.832,1
143.31,287.33,57.02,1836,0.34,0
142.43,18.85,47.77,1770,2.863,1
63.44,214.76,56.31,2082,3.243,1
136.64,132.94,53.76,1665,2.076,1
92.42,200.17,42.71,2239,2.197,1
97.49,230.97,53.88,1514,1.827,1
53.42,239.65,43.93,2098,3.388,1
138.14,68.97,56.06,1935,1.547,1
25.37,352.77,48.58,1730,2.133,1
33.41,260.08,41.45,1838,1.513,0
65.88,285.39,50.68,2232,1.828,1
30.56,34.95,49.67,1801,1.372,1
61.49,196.87,47.0,1956,2.331,1
18.7,90.37,44.44,2153,2.541,1
30.06,355.04,59.44,2108,3.389,1
68.98,238.99,58.28,2020,0.572,1
62.22,48.59,52.76,1925,1.653,1
83.89,239.45,52.28,2176,1.272,1
118.02,189.76,52.88,1910,1.34,1
63.91,290.53,46.83,2035,1.924,1
133.64,72.17,40.96,1642,2.304,1
46.98,285.13,47.99,1831,2.683,1
107.5,63.29,43.1,2057,1.977,1
50.04,162.65,45.25,2264,0.193,1
88.22,85.81,52.59,1960,1.063,1
55.29,185.95,51.38,2240,2.001,1
149.85,95.42,51.41,2198,1.902,1
5.3,104.33,49.44,2111,2.132,1
57.15,214.18,45.96,2036,3.976,1
64.99,203.65,53.53,2152,3.919,1
104.15,122.81,53.01,2136,1.701,1
131.45,227.92,49.69,1997,2.574,1
146.16,249.75,48.22,2007,1.627,1
83.99,318.52,48.62,2087,2.205,1
73.73,10.23,46.91,1967,1.675,1
137.18,286.71,55.89,2069,0.88,0
